node_id,node_lon,node_lat,node_type,n_fixes,in_mpa,mpa_name
patch_0,-11.38386652477812,60.46940592034775,foraging_patch,690,False,
patch_1,-13.24924704204075,49.42032441290243,foraging_patch,520,False,
patch_2,-10.87677468420732,48.154360190371705,foraging_patch,1952,False,
patch_3,-12.344322105460725,51.31824836846901,foraging_patch,1374,False,
patch_4,-11.572469273085144,50.29316937140084,foraging_patch,1903,False,
patch_5,-12.93166178435926,50.80973787900309,foraging_patch,539,False,
patch_6,-13.53720138304042,51.38576864749685,foraging_patch,702,False,
patch_7,-12.98686013423765,51.19450092046466,foraging_patch,781,False,
patch_8,-4.218276091988711,48.82898890449987,foraging_patch,661,False,
patch_9,-12.521267827429304,57.46768733180683,foraging_patch,734,True,
patch_10,-13.755134275857118,57.54470010537506,foraging_patch,713,False,
patch_11,-13.417913287071112,57.66844692815842,foraging_patch,604,False,
patch_12,-8.997788867414958,54.71063897508333,foraging_patch,713,False,
patch_13,-10.351569858285592,55.82875082873641,foraging_patch,1333,False,
patch_14,-6.101226935923751,58.65589707202708,foraging_patch,1140,False,
patch_15,-8.230178574672077,57.7200223885268,foraging_patch,1578,False,
patch_16,-7.321306362278654,58.04629310702413,foraging_patch,685,False,
patch_17,-10.292784529840768,53.45300518037339,foraging_patch,1880,False,
patch_18,-10.37723275624122,52.23779976255575,foraging_patch,643,False,
patch_19,-4.288899313215714,52.71729748511559,foraging_patch,651,False,
patch_20,-9.02290689628116,51.48318276026551,foraging_patch,2434,False,
patch_21,-6.743034263380525,57.69317800616706,foraging_patch,1005,False,
patch_22,-6.20801139729717,56.99399912357417,foraging_patch,910,False,
patch_23,-6.285828826684252,56.987488197827126,foraging_patch,728,False,
patch_24,-6.287381329344075,56.99086065516871,foraging_patch,1049,False,
patch_25,-5.706934059527761,49.87985882657028,foraging_patch,684,False,
patch_26,-5.533764203465447,50.03956597319159,foraging_patch,773,False,
patch_27,-5.706925648129888,50.52735275076635,foraging_patch,1512,False,
patch_28,-4.748081826127131,50.875611607636245,foraging_patch,592,True,
patch_29,-4.76356343021424,51.14968960980202,foraging_patch,1788,True,
patch_30,-5.215883295527562,51.10945543747509,foraging_patch,558,True,
patch_31,-6.914499135336044,51.16026156355972,foraging_patch,729,False,
patch_32,-5.553903551634668,52.776068059197634,foraging_patch,952,False,
patch_33,-6.402161720677781,51.18151469392355,foraging_patch,654,False,
patch_34,-5.082632180636145,52.44527366097609,foraging_patch,2622,True,
patch_35,-7.227523289934667,56.316522540179164,foraging_patch,720,False,
patch_36,-6.380067049021687,56.19753006415053,foraging_patch,527,False,
patch_37,-6.697032724567608,56.21499675067665,foraging_patch,810,False,
patch_38,-6.61129483226385,55.72136826382089,foraging_patch,806,False,
patch_39,-7.042129685259354,55.49258338168202,foraging_patch,2073,False,
patch_40,-7.145860693963827,55.92590246925757,foraging_patch,1778,False,
patch_41,-7.866167220667476,56.19525768949352,foraging_patch,859,True,
patch_42,-7.669872478173401,55.83442876856021,foraging_patch,1507,False,
patch_43,-5.064382054559305,53.97478565542965,foraging_patch,549,False,
patch_44,-5.931339699357813,51.18768141792767,foraging_patch,1498,False,
patch_45,-5.434542960996906,53.60858470896147,foraging_patch,566,False,
patch_46,-6.141054030041488,52.35344330669088,foraging_patch,1075,False,
patch_47,-5.152503074249881,55.7713928401536,foraging_patch,1503,False,
patch_48,-6.103026762526473,51.70872976410227,foraging_patch,539,False,
patch_49,-5.402869064740813,55.52663677106949,foraging_patch,541,False,
patch_50,-6.669057380603197,51.53956209368874,foraging_patch,818,False,
patch_51,-7.447632028417172,51.98316519803534,foraging_patch,1208,False,
patch_52,-4.818871478332859,55.54815948001811,foraging_patch,2226,False,
patch_53,-5.675791475485958,51.71656733919719,foraging_patch,1017,False,
patch_54,-5.347924247703592,51.75938917664686,foraging_patch,5634,True,
patch_55,-7.122545277581422,52.02722198753254,foraging_patch,651,False,
patch_56,-6.327205945739672,52.05777107890353,foraging_patch,840,False,
patch_57,-6.807701638614918,52.02053895844546,foraging_patch,993,False,
patch_58,-5.90240103766856,53.69927721049689,foraging_patch,744,False,
patch_59,-6.3995420109713805,51.7343061995018,foraging_patch,749,False,
patch_60,-6.689670594108013,51.901967791737135,foraging_patch,1621,False,
patch_61,-5.857248907836352,53.947944351694126,foraging_patch,2584,False,
patch_62,-5.436171017607825,54.24050994801235,foraging_patch,1134,False,
patch_63,-5.691138546133014,55.1327609206945,foraging_patch,966,False,
patch_64,-4.924415374698528,54.315008858546896,foraging_patch,1142,False,
patch_65,-5.298121037779558,54.99184939969101,foraging_patch,1131,False,
patch_66,-5.176755747674552,55.10456506100188,foraging_patch,501,False,
patch_67,-5.38685325873895,54.42389440734373,foraging_patch,680,True,
patch_68,-4.975018008805687,54.55302240727581,foraging_patch,852,False,
patch_69,-5.048276323483561,54.6611254576311,foraging_patch,894,False,
patch_70,-5.231746140044623,54.657781688553065,foraging_patch,501,False,
patch_71,-5.467316354375707,54.67346713412313,foraging_patch,1365,True,
patch_72,-5.507283199410204,54.73686610761828,foraging_patch,767,True,
patch_73,-5.636209007847455,54.76333617440697,foraging_patch,686,True,
patch_74,-5.588150125470783,54.723069898869134,foraging_patch,1384,True,
colony_cp,-5.525785,54.695025,colony,0,True,
colony_kilda,-8.586639,57.815077,colony,0,False,
colony_lun,-4.668419,51.176569,colony,0,False,
colony_ram,-5.339924,51.866831,colony,0,False,
colony_rum,-6.33119,57.005972,colony,0,False,
colony_skok,-5.276882,51.697395,colony,0,True,
colony_sk,-5.287829,51.737449,colony,0,True,
